 fabmastr        Tebo-ICT,  license #XingShang
RPR27          8.355    -1.470   90.0  F1   (T)  'R0402', 'R0402'
RPR28          8.315    -1.470  270.0  F1   (T)  'R0402_H16', 'R0402_H16'
RPR29          8.435    -1.595  270.0  F1   (T)  'R0402', 'R0402'
RPR3           8.230    -2.140   90.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR30          7.995    -1.470    0.0  F1   (T)  'R0603_H24', 'R0603_H24'
RPR307         8.030    -1.000   90.0  F1   (T)  'R0402', 'R0402'
RPR308         7.990    -1.000  270.0  F1   (T)  'MB_R0402', 'MB_R0402'
RPR31          8.515    -1.700    0.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR33          8.515    -1.655    0.0  F1   (T)  'R0402_H16', 'R0402_H16'
RPR34          8.625    -1.970    0.0  F2   (T)  'R0402', 'R0402'
RPR35          8.625    -1.655  180.0  F1   (T)  'R0402_H16', 'R0402_H16'
RPR36          8.185    -1.470   90.0  F1   (T)  'R0402_H16', 'R0402_H16'
RPR4           8.185    -2.240   90.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR40          8.320    -2.030  270.0  F2   (T)  'R0402', 'R0402'
RPR42          8.225    -1.470  270.0  F1   (T)  'R0402_H16', 'R0402_H16'
RPR421         2.850    -1.985  180.0  B2   (T)  'R0402_H16', 'R0402_H16'
RPR43          8.270    -1.470   90.0  F1   (T)  'R0402', 'R0402'
RPR46          8.365    -2.140   90.0  F2   (T)  'R0402', 'R0402'
RPR47          8.225    -1.595   90.0  F1   (T)  'R0402', 'R0402'
RPR48          8.270    -1.595  270.0  F1   (T)  'R0402_H16', 'R0402_H16'
RPR49          8.515    -1.970  180.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR5           8.515    -1.925    0.0  F2   (T)  'MB_R0402', 'MB_R0402'
RPR50          8.515    -2.050  180.0  F2   (T)  'R0402', 'R0402'
RPR510         8.625    -2.905  180.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR515         8.625    -2.450    0.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR516         8.625    -2.405    0.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR52          8.515    -2.095    0.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR520         8.325    -2.370  180.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR521         8.515    -2.265  180.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR55          8.020    -2.085    0.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR56          8.020    -2.005    0.0  F2   (T)  'R0402', 'R0402'
RPR574         4.590    -1.700    0.0  D2   (T)  'R0603_H24', 'R0603_H24'
RPR587         8.495    -2.905  180.0  F2   (T)  'MB_R0402', 'MB_R0402'
RPR59          7.920    -1.960    0.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR6           8.230    -2.240  270.0  F2   (T)  'R0402', 'R0402'
RPR60          8.020    -1.960    0.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR61          7.920    -1.890    0.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR62          8.020    -1.890    0.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR63          7.920    -1.850    0.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR64          8.020    -1.850    0.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR65          8.435    -1.470  270.0  F1   (T)  'R0402_H16', 'R0402_H16'
RPR68          6.670    -1.370  270.0  E1   (T)  'MB_R0402', 'MB_R0402'
RPR7           8.275    -2.030  270.0  F2   (T)  'MB_R0402', 'MB_R0402'
RPR70          5.815    -1.370  270.0  D1   (T)  'MB_R0402', 'MB_R0402'
RPR701         3.610    -6.195  270.0  C4   (T)  'R1206_H26', 'R1206_H26'
RPR702         4.085    -6.195  270.0  C4   (T)  'R1206_H26', 'R1206_H26'
RPR703         3.990    -6.195  270.0  C4   (T)  'R1206_H26', 'R1206_H26'
RPR704         3.895    -6.195  270.0  C4   (T)  'R1206_H26', 'R1206_H26'
RPR705         3.420    -6.195  270.0  C4   (T)  'R1206_H26', 'R1206_H26'
RPR706         3.800    -6.195  270.0  C4   (T)  'R1206_H26', 'R1206_H26'
RPR707         3.515    -6.195  270.0  C4   (T)  'R1206_H26', 'R1206_H26'
RPR708         3.705    -6.195  270.0  C4   (T)  'R1206_H26', 'R1206_H26'
RPR709         3.090    -6.240  270.0  C4   (T)  'R1206_H26', 'R1206_H26'
RPR710         2.795    -5.685   90.0  B4   (T)  'R1206_H26', 'R1206_H26'
RPR72          4.970    -1.370  270.0  D1   (T)  'MB_R0402', 'MB_R0402'
RPR73          5.715    -1.370   90.0  D1   (T)  'MB_R0402', 'MB_R0402'
RPR74          7.660    -3.070  270.0  F2   (T)  'MB_R0402', 'MB_R0402'
RPR75          8.280    -2.610  180.0  F2   (T)  'MB_R0402', 'MB_R0402'
RPR76          8.020    -1.555  180.0  F1   (T)  'R0402_H14', 'R0402_H14'
RPR77          8.020    -1.515    0.0  F1   (T)  'R0402_H16', 'R0402_H16'
RPR78          8.020    -1.595  180.0  F1   (T)  'R0402', 'R0402'
RPR79          8.020    -1.635    0.0  F1   (T)  'R0402_H16', 'R0402_H16'
RPR82          8.625    -2.655    0.0  F2   (T)  'R0402_H16', 'R0402_H16'
RPR83          6.625    -1.370   90.0  E1   (T)  'R0603_H24', 'R0603_H24'
RPR87          7.325    -1.166    0.0  E1   (T)  'MB_R1206', 'MB_R1206'
RPR89          5.770    -1.370   90.0  D1   (T)  'R0603_H24', 'R0603_H24'
RPR9           8.430    -2.140  270.0  F2   (T)  'R0402', 'R0402'
RPR91          8.495    -2.865  180.0  F2   (T)  'R0402', 'R0402'
RPR92          6.425    -1.166    0.0  E1   (T)  'MB_R1206', 'MB_R1206'
RPR93          8.625    -2.865    0.0  F2   (T)  'R0402', 'R0402'
RPR938         2.850    -2.030  180.0  B2   (T)  'R0402', 'R0402'
RPR94          4.925    -1.370   90.0  D1   (T)  'R0603_H24', 'R0603_H24'
RPR940         3.140    -2.285    0.0  C2   (T)  'R0402_H16', 'R0402_H16'
RPR941         8.315    -1.285   90.0  F1   (T)  'R0402_H16', 'R0402_H16'
RPR942         8.355    -1.375  270.0  F1   (T)  'R0402_H16', 'R0402_H16'
RPR943         8.355    -1.285  270.0  F1   (T)  'R0402', 'R0402'
RPR95          7.920    -2.020  180.0  F2   (T)  'R0603_H24', 'R0603_H24'
RPR96          7.920    -2.070  180.0  F2   (T)  'R0603_H24', 'R0603_H24'
RPR97          5.590    -1.166    0.0  D1   (T)  'MB_R1206', 'MB_R1206'
RPR98          7.920    -2.125  180.0  F2   (T)  'R0603_H24', 'R0603_H24'
RP1            0.560    -4.135  270.0  A3   (T)  'MB_8R10P0603', 'MB_8R10P0603'
CBC1           7.625    -1.045   90.0  F1   (T)  'MB_C0402', 'MB_C0402'
CBC2           1.600    -0.440  270.0  B1   (T)  'C0402', 'C0402'
CBC3           1.275    -0.215  270.0  A1   (T)  'C0402', 'C0402'
CBC4           1.280    -0.440  270.0  A1   (T)  'C0402', 'C0402'
CEC1           1.035    -3.610   90.0  A3   (T)  'MB_C0402', 'MB_C0402'
CEC15          1.125    -2.280  270.0  A2   (T)  'C0402', 'C0402'
CEC17          0.575    -1.910   90.0  A2   (T)  'C0402', 'C0402'
CEC2           1.125    -2.170  270.0  A2   (T)  'C0402', 'C0402'
CEC20          2.775    -6.390  180.0  B4   (T)  'C0402', 'C0402'
CEC21          0.450    -4.220  180.0  A3   (T)  'MB_C0402', 'MB_C0402'
CEC23          7.570    -0.320    0.0  F1   (T)  'C0402', 'C0402'
CEC25          8.570    -5.640  180.0  F4   (T)  'C0402', 'C0402'
CEC26          1.125    -1.090    0.0  A1   (T)  'C0402', 'C0402'
CEC27          6.175    -0.560   90.0  E1   (T)  'C0402', 'C0402'
CEC28          4.675    -0.650  270.0  D1   (T)  'C0402', 'C0402'
CEC3           1.790    -3.065    0.0  B2   (T)  'C0402', 'C0402'
CEC30          1.029    -3.515  270.0  A3   (T)  'MB_C0402', 'MB_C0402'
CEC37          5.180    -6.550    0.0  D4   (T)  'C0402', 'C0402'
CEC39          2.075    -3.365  270.0  B2   (T)  'C0402', 'C0402'
CEC4           0.895    -3.610  270.0  A3   (T)  'MB_C0402', 'MB_C0402'
CEC40          3.995    -1.455  180.0  C1   (T)  'C0402', 'C0402'
CEC5           8.490    -1.000  270.0  F1   (T)  'C0402', 'C0402'
CEC50          2.305    -1.880    0.0  B2   (T)  'MB_C0402', 'MB_C0402'
CEC6           8.415    -0.825  270.0  F1   (T)  'C0402', 'C0402'
CEC61          2.305    -1.925  180.0  B2   (T)  'C0402', 'C0402'
CEC62          6.585    -0.560    0.0  E1   (T)  'C0402', 'C0402'
CEC63          8.625    -3.580    0.0  F3   (T)  'C0402', 'C0402'
CEC64          2.955    -5.295    0.0  B4   (T)  'C0402', 'C0402'
CEC65          4.130    -1.455    0.0  C1   (T)  'C0402', 'C0402'
CEC66          1.455    -6.535  270.0  A4   (T)  'C0402', 'C0402'
CEC67          1.055    -6.535  270.0  A4   (T)  'C0402', 'C0402'
CEC68          0.520    -5.830   90.0  A4   (T)  'C0402', 'C0402'
CEC69          7.735    -6.600  270.0  F4   (T)  'C0402', 'C0402'
CHC10          5.940    -3.340  180.0  E2   (B)  'MB_C0805_B', 'MB_C0805_B'
CHC11          5.510    -3.580    0.0  D3   (T)  'MB_C0805', 'MB_C0805'
CHC12          5.510    -3.500    0.0  D3   (T)  'MB_C0805', 'MB_C0805'
CHC13          5.750    -3.420    0.0  D3   (B)  'MB_C0805_B', 'MB_C0805_B'
CHC14          5.940    -3.420  180.0  E3   (B)  'MB_C0805_B', 'MB_C0805_B'
CHC15          5.750    -3.500    0.0  D3   (B)  'MB_C0805_B', 'MB_C0805_B'
CHC16          4.385    -2.605  180.0  C2   (T)  'MB_C0402', 'MB_C0402'
CHC17          4.385    -2.540  180.0  C2   (T)  'MB_C0402', 'MB_C0402'
CHC18          4.155    -2.485  180.0  C2   (T)  'MB_C0402', 'MB_C0402'
CHC19          4.020    -3.195  180.0  C2   (T)  'MB_C0402', 'MB_C0402'
CHC2           5.570    -3.605  180.0  D3   (B)  'C0603_B', 'C0603_B'
CHC20          4.385    -2.680  180.0  C2   (T)  'MB_C0402', 'MB_C0402'
CHC21          4.155    -2.830  180.0  C2   (T)  'MB_C0402', 'MB_C0402'
CHC22          4.020    -2.740  180.0  C2   (T)  'MB_C0402', 'MB_C0402'
CHC23          4.020    -2.980  180.0  C2   (T)  'MB_C0402', 'MB_C0402'
CHC24          4.115    -3.260    0.0  C2   (T)  'MB_C0805', 'MB_C0805'
CHC25          4.115    -3.195  180.0  C2   (T)  'C0603', 'C0603'
CHC26          5.940    -3.600    0.0  E3   (T)  'MB_C0402', 'MB_C0402'
CHC3           6.115    -3.605    0.0  E3   (B)  'MB_C0603_B', 'MB_C0603_B'
CHC4           5.570    -3.500  180.0  D3   (B)  'C0603_B', 'C0603_B'
CHC42          5.460    -3.555    0.0  D3   (B)  'C0603_B', 'C0603_B'
CHC43          4.135    -3.880  180.0  C3   (T)  'MB_C0402', 'MB_C0402'
CHC44          5.465    -3.605    0.0  D3   (B)  'MB_C0402_B', 'MB_C0402_B'
CHC45          4.135    -3.820    0.0  C3   (T)  'MB_C0805', 'MB_C0805'
CHC46          7.735    -3.720    0.0  F3   (T)  'MB_C0402', 'MB_C0402'
CHC5           6.115    -3.555    0.0  E3   (B)  'C0603_B', 'C0603_B'
CHC54          4.135    -4.125  180.0  C3   (T)  'MB_C0402', 'MB_C0402'
CHC55          4.135    -4.060  180.0  C3   (T)  'MB_C0402', 'MB_C0402'
CHC6           5.570    -3.555  180.0  D3   (B)  'MB_C0603_B', 'MB_C0603_B'
CHC7           6.115    -3.500    0.0  E3   (B)  'MB_C0603_B', 'MB_C0603_B'
CHC8           5.750    -3.340    0.0  D2   (B)  'MB_C0805_B', 'MB_C0805_B'
CHC80          7.865    -3.960  180.0  F3   (T)  'MB_C0402', 'MB_C0402'
CHC81          7.735    -3.880  180.0  F3   (T)  'C0402', 'C0402'
CHC82          0.875    -5.360   90.0  A4   (T)  'MB_C0402', 'MB_C0402'
CHC83          0.455    -4.750  180.0  A3   (T)  'MB_C0402', 'MB_C0402'
CHC9           5.940    -3.500  180.0  E3   (B)  'MB_C0805_B', 'MB_C0805_B'
CL1C1          1.915    -3.925  270.0  B3   (T)  'MB_C0402', 'MB_C0402'
CL1C10         2.220    -0.970  270.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1C11         2.175    -0.970  270.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1C12         2.150    -0.545  270.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1C13         2.100    -0.545  270.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1C14         1.925    -0.545  270.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1C15         3.800    -0.995  270.0  C1   (T)  'MB_C0402', 'MB_C0402'
CL1C16         4.505    -1.070  180.0  D1   (T)  'MB_C0402', 'MB_C0402'
CL1C2          1.955    -3.925  270.0  B3   (T)  'MB_C0402', 'MB_C0402'
CL1C3          2.015    -0.545   90.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1C4          1.975    -0.545   90.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1C5          3.760    -0.995  270.0  C1   (T)  'MB_C0402', 'MB_C0402'
CL1C6          4.300    -1.070  180.0  C1   (T)  'MB_C0402', 'MB_C0402'
CL1C7          4.130    -1.070    0.0  C1   (T)  'MB_C0402', 'MB_C0402'
CL1C8          4.055    -1.070  180.0  C1   (T)  'MB_C0402', 'MB_C0402'
CL1C9          3.865    -1.070    0.0  C1   (T)  'MB_C0402', 'MB_C0402'
DL1D1          3.675    -0.815   90.0  C1   (T)  'MB_SOT23_6P', 'MB_SOT23_6P'
DL1D2          3.675    -0.630   90.0  C1   (T)  'MB_SOT23_6P', 'MB_SOT23_6P'
DL1D3          3.635    -0.995  180.0  C1   (T)  'SC79', 'SC79'
DL1D4          3.635    -0.995  180.0  C1   (T)  'SOD323_ON', 'SOD323_ON'
DL1D5          3.635    -1.070  180.0  C1   (T)  'SC79', 'SC79'
DL1D6          3.635    -1.070  180.0  C1   (T)  'SOD323_ON', 'SOD323_ON'
L1L51          1.810    -0.615    0.0  B1   (T)  'MB_R0603', 'MB_R0603'
L1L53          1.975    -0.300   90.0  B1   (T)  'MB_R0603', 'MB_R0603'
L1L54          1.880    -1.055   90.0  B1   (T)  'MB_CHOKE_2P_158X177', 'MB_CHOKE_2P_158X177'
RL1R1          2.300    -0.970   90.0  B1   (T)  'MB_R0402', 'MB_R0402'
RL1R11         3.970    -1.070  180.0  C1   (T)  'R0402_H16', 'R0402_H16'
RL1R12         2.005    -0.970  270.0  B1   (T)  'MB_R0402', 'MB_R0402'
RL1R2          1.820    -0.545   90.0  B1   (T)  'MB_R0402', 'MB_R0402'
RL1R3          1.885    -0.545  270.0  B1   (T)  'R0402_H16', 'R0402_H16'
RL1R5          4.395    -1.070  180.0  C1   (T)  'MB_R0603', 'MB_R0603'
RL1R6          4.215    -1.070  180.0  C1   (T)  'R0402_H16', 'R0402_H16'
UL1U1           2.130    -0.750   90.0  B1   (T)  'MB_QFN_48P_S236_P_SM_8V_H39', 'MB_QFN_48P_S236_P_SM_8V_H39'
CL1U1C12       2.370    -0.665    0.0  B1   (T)  'MB_C0402', 'MB_C0402'
CL1U1C129      1.845    -0.915    0.0  B1   (T)  'MB_C0805', 'MB_C0805'
CL1U1C13       1.925    -0.300   90.0  B1   (T)  'MB_C0402', 'MB_C0402'
